Parameter,ImplementedValue,Unit,CodeLocation,Role,ProvenanceClass,Source,VerifiedRangeLow,VerifiedRangeHigh,RangeStatus,MayOptimizeForTask,Notes
chemical_boundary,NO_FLUX,none,"BSimHybridDish.java:319 sim.setSolid(true,true,true); BSimChemicalField.java solid-neighbour skip",AHL/acid/att/rep BC,ENGINEERING_DESIGN,BSim solid walls: no neighbour exchange and leakyRate unused unless leaky[] is set,,,NO_DEFENSIBLE_RANGE,no,Active HybridDish has no chemical advection. Bacterial x-removal and y-reflection are not chemical loss.
bacterial_y_boundary,mirror reflection,none,"BSimHybridDish.java:189-192",particle BC,MODEL_CONVENIENCE,Override updatePosition y-mirror then clamp,,,NO_DEFENSIBLE_RANGE,no,Particle rule only.
bacterial_x_boundary,OOB death if x outside [0,Lx],none,"BSimHybridDish.java:416-419",particle BC,MODEL_CONVENIENCE,DeathCause.OOB after position update,,,NO_DEFENSIBLE_RANGE,no,Not a chemical sink.
FLOW_SPEED,0.0,um/s,"BSimHybridDish.java:65 and :165 Stokes force",motility force,ENGINEERING_DESIGN,Hard-coded zero; 8 um/s is a known occupancy-dead living-BSim anchor from SWEEP_DECISIONS.md,0,8,HYPOTHETICAL_DESIGN_ENVELOPE,yes,Stokes force only. No chemical v·∇C in active HybridDish. Surrogate OUTFLOW flow is a screening extension.
receiver_K,1.6,uM,"BSimHybridDish.java:72 RECEIVER_K_UM",receiver,TASK_TUNED_HISTORICAL,"RESEARCH_REPORT.md: trace-matched to the live plume; not a LuxR EC50",,,NO_DEFENSIBLE_RANGE,no,Compile-time constant. Occupancy is not to be recovered by retuning K to NARMA NRMSE.
receiver_n,2,none,"BSimHybridDish.java:73 RECEIVER_HILL_N",receiver,ENGINEERING_DESIGN,Frozen Stage 3B Hill coefficient; QS Hill n=2 appears in unverified in-code comments,,,NO_DEFENSIBLE_RANGE,no,Not configurable.
receiver_tau_R,15,s,"BSimHybridDish.java:74 RECEIVER_TAU_S",receiver,ENGINEERING_DESIGN,Frozen Stage 3B; analytic t95=44.936 s at :75,,,NO_DEFENSIBLE_RANGE,no,Discrete update R=H+(R-H)*exp(-dt/15). Surrogate uses the equivalent ODE.
reporter_tau_L,1500,s,"BSimHybridDish.java:76-78 DELTA_LUX and ALPHA_LUX; sim_config luminescence.alpha=1/1500",reporter,ENGINEERING_DESIGN,Chosen so L is not a copy of R; alpha=delta=1/1500,,,NO_DEFENSIBLE_RANGE,no,Engineering memory. Not a measured lux degradation time for this dish.
initial_population,1800,cells,"BSimHybridDish.java:50; sim_config.properties initial.pop",population,ENGINEERING_DESIGN,Near carrying capacity at start,,,NO_DEFENSIBLE_RANGE,no,Nuisance. Requires population-equilibrium validation before task use.
carrying_capacity,2000,cells,"BSimHybridDish.java:50; sim_config.properties carrying.capacity",population,MODEL_CONVENIENCE,Clamp target,,,NO_DEFENSIBLE_RANGE,no,Not freely task-optimizable. Creates artificial turnover/memory if tuned to score.
growth_rate,4*pi/1800,1/s,"BSimHybridDish.java:67 GROWTH_RATE",population,DERIVED,Intended 30 min generation: T_gen=4*pi/GROWTH_RATE=1800 s,,,NO_DEFENSIBLE_RANGE,no,Form is the BSim surface-area growth convention. 30 min is a typical E. coli scale not a HybridDish measurement.
T_removal,1800,s,"BSimHybridDish.java:69 T_REMOVAL=EXPECTED_T_GEN",population clamp,MODEL_CONVENIENCE,LacOperon-style pRemoval=(dt/T_rem)*2^(-(1-N/K)),,,NO_DEFENSIBLE_RANGE,no,Homeostatic clamp. Not a physical loss or exchange mechanism.
acid_source_position,"(300,375,5)",um,"BSimHybridDish.java:102",acid channel,ENGINEERING_DESIGN,Dedicated death-input source; not AC0/AC1/AC2,,,HYPOTHETICAL_DESIGN_ENVELOPE,no,Not optimized in this transport surrogate.
acid_source_rate,2e11,molecules/s,"BSimHybridDish.java:60; sim_config.properties field.acid.source.rate",acid channel,ENGINEERING_DESIGN,Stage 4 calibration lowered from 6.4e11 after population collapse,,,NO_DEFENSIBLE_RANGE,no,Not a literature flux.
acid_cell_production,1e6,molecules/s/cell,"BSimHybridDish.java:61; sim_config.properties field.acid.cell.production.rate",acid channel,MODEL_CONVENIENCE,Magnitude placeholder so the field is population-coupled; not a converted mmol/gDW/h rate,,,NO_DEFENSIBLE_RANGE,no,Stage 4 MANIFEST.
acid_D,200,um2/s,"BSimHybridDish.java:45; sim_config.properties field.acid.diff",acid transport,ENGINEERING_DESIGN,Option B buffered effective D midpoint of 100-500 um2/s in pH_unified_mechanism.md; not bulk proton D,,,HYPOTHETICAL_DESIGN_ENVELOPE,no,Not screened here.
acid_decay,0.0067,1/s,"BSimHybridDish.java:46; sim_config.properties field.acid.decay",acid transport,ENGINEERING_DESIGN,Prevents acid ratchet across windows,,,NO_DEFENSIBLE_RANGE,no,Not screened here.
K_MAX_ACID,0.002,1/s,"BSimHybridDish.java:62; sim_config.properties field.acid.kmax",acid mortality,TASK_TUNED_HISTORICAL,Calibrated in Stage 4 living runs; not a literature kill rate,,,NO_DEFENSIBLE_RANGE,no,Not freely task-optimizable. Surrogate does not simulate mortality.
K_MAX_ALK,0.003,1/s,"BSimHybridDish.java:63 default; config field.acid.kmax.alk unused because field only adds acid",acid mortality,MODEL_CONVENIENCE,Alkaline arm present but unused,,,NO_DEFENSIBLE_RANGE,no,Inactive in the implemented acid-only field.
PH_BASE,7.1,pH,"BSimHybridDish.java:86",pH map,LITERATURE_CANDIDATE_UNVERIFIED,Stage 4 MANIFEST: Ingraham & Marr 1996 midpoint of pH 6.8-7.4,,,NO_DEFENSIBLE_RANGE,no,Not re-verified against the paper in this package.
BUFFER_CAPACITY,2.0,mM/pH,"BSimHybridDish.java:87",pH map,ENGINEERING_DESIGN,Assumed weakly buffered medium; not Small/Castanie-Cornet,,,NO_DEFENSIBLE_RANGE,no,Assumed. Needs medium measurement.
PH_GROWTH_LIMIT,4.5,pH,"BSimHybridDish.java:88",acid Hill onset,LITERATURE_CANDIDATE_UNVERIFIED,Small et al. 1994 growth-limit citation in Stage 4 MANIFEST,,,NO_DEFENSIBLE_RANGE,no,Limits cited; K_MAX is not literature.
PH_ACID_EC50,3.75,pH,"BSimHybridDish.java:89",acid Hill half-max,DERIVED,Midpoint of 2.5 and 4.5,,,NO_DEFENSIBLE_RANGE,no,Engineering midpoint of cited limits.
PH_ACID_MIN,2.5,pH,"BSimHybridDish.java:90",acid collapse,LITERATURE_CANDIDATE_UNVERIFIED,Castanie-Cornet et al. 1999 citation in Stage 4 MANIFEST,,,NO_DEFENSIBLE_RANGE,no,Limits cited; not a HybridDish survival curve.
attractant_AC_injection,0,molecules/s,"BSimHybridDish.java:383-390 input0=input2=0",architecture placeholder,MODEL_CONVENIENCE,AC0/AC2 positions exist; injection always zero,,,NO_DEFENSIBLE_RANGE,no,Silent attractant architecture. Not an AC transfer model.
silent_arm_source_zeroing,AHL and acid rates set to 0,none,"BSimHybridDish.java:797-801",control,ENGINEERING_DESIGN,Silent arm control,,,PHYSICALLY_CONSTRAINED,no,Required control; not a free parameter.
screen_Robin_h,0.159,um/s,PROTOCOL.md ROBIN_LEAKY h=D_ref/Lx,hypothetical BC,ENGINEERING_DESIGN,Derived sensitivity; not calibration,0.159,0.159,HYPOTHETICAL_DESIGN_ENVELOPE,no,Used only in labelled boundary-sensitivity arms.
screen_D_envelope,80 or 240,um2/s,PROTOCOL.md hypothetical arms,hypothetical transport,ENGINEERING_DESIGN,No verified HybridDish D range existed before freeze,80,240,HYPOTHETICAL_DESIGN_ENVELOPE,no,Design envelope. Not biological uncertainty.
screen_k_envelope,0.00165 or 0.0066,1/s,PROTOCOL.md hypothetical arms,hypothetical transport,ENGINEERING_DESIGN,Half/double implemented decay,0.00165,0.0066,HYPOTHETICAL_DESIGN_ENVELOPE,no,Design envelope. Not biological uncertainty.
